키워드를 추가 할 광고그룹ID 와 신규 키워드를 입력하세요.,,,,
광고그룹ID는 '광고다운로드' 파일에서 확인할 수 있습니다. 입찰가는 쉼표나 '원' 표시를 제외한 숫자만 입력해 주세요.,,,,
입력은 최대 만(10000)개까지 가능합니다. (광고그룹 당 키워드는 1000개까지 등록가능합니다),,,,
그룹의 웹사이트URL이 1개인 경우라도 PC/모바일 URL에 동일하게 2번 입력해주시고 PC/모바일 웹사이트를 별도로 가지고 있는 경우에만 URL을 PC /모바일 구분해서 입력하세요. URL은 http:// 등으로 시작하는 형식이어야 합니다.,,,,
[중요] 7행부터 입력값이 시스템에 반영됩니다. 1~6행을 삭제하지 마세요. 엑셀에서 저장시 CSV 파일형식을 꼭 확인하시기 바랍니다.,,,,
광고그룹ID(필수),키워드(필수),PC URL(선택),모바일 URL(선택),"키워드입찰가(선택,숫자만)"
grp-a001-01-000000072062671,건물방수비용,,,1200
grp-a001-01-000000072062671,건물방수가격,,,1200
grp-a001-01-000000072062671,주차장방수견적,,,2000
grp-a001-01-000000072062671,주차장방수비용,,,2000
grp-a001-01-000000072062671,주차장방수가격,,,2000
grp-a001-01-000000072062671,외벽방수견적,,,2000
grp-a001-01-000000072062671,외벽방수비용,,,2000
grp-a001-01-000000072062671,외벽방수가격,,,2000
grp-a001-01-000000072062671,도장공사견적,,,1200
grp-a001-01-000000072062671,건물도장견적,,,1200
grp-a001-01-000000072062671,외벽도장견적,,,1200
grp-a001-01-000000072062671,공장도장견적,,,1500
grp-a001-01-000000072062671,상가도장견적,,,1500
grp-a001-01-000000072062671,하자보수견적,,,1500
grp-a001-01-000000072062671,건물하자보수견적,,,1500
grp-a001-01-000000072062671,누수공사비용,,,1500
grp-a001-01-000000072062671,누수수리비용,,,1500
grp-a001-01-000000072062671,옥상방수단가,,,2000
grp-a001-01-000000072062671,평당방수비용,,,1200
grp-a001-01-000000072062675,광명방수공사,,,2000
grp-a001-01-000000072062675,광명옥상방수,,,2000
grp-a001-01-000000072062675,광명우레탄방수,,,2000
grp-a001-01-000000072062675,광명상가방수,,,1500
grp-a001-01-000000072062675,광명건물방수,,,1200
grp-a001-01-000000072062675,광명주차장방수,,,2000
grp-a001-01-000000072062675,광명외벽방수,,,2000
grp-a001-01-000000072062675,광명방수업체,,,2000
grp-a001-01-000000072062675,광명빌라옥상방수,,,2000
grp-a001-01-000000072062675,광명상가옥상방수,,,2000
grp-a001-01-000000072062675,광명건물누수방수,,,1500
grp-a001-01-000000072062675,광명주차장에폭시,,,1200
grp-a001-01-000000072062675,광명철산동방수,,,1200
grp-a001-01-000000072062675,광명소하동방수,,,1200
grp-a001-01-000000072062675,광명옥상방수공사,,,2000
grp-a001-01-000000072062675,광명우레탄방수공사,,,2000
grp-a001-01-000000072062675,광명누수공사,,,1500
grp-a001-01-000000072062675,광명건물누수,,,1500
grp-a001-01-000000072062675,광명하자보수,,,1500
grp-a001-01-000000072062675,광명건물하자보수,,,1500
grp-a001-01-000000072062675,광명외벽균열보수,,,1500
grp-a001-01-000000072062675,광명도장공사,,,1200
grp-a001-01-000000072062675,광명건물도장,,,1200
grp-a001-01-000000072062675,광명외벽도장,,,1200
grp-a001-01-000000072062675,광명외벽페인트,,,1200
grp-a001-01-000000072062675,광명공장방수,,,1500
grp-a001-01-000000072062675,광명공장도장,,,1500
grp-a001-01-000000072062675,광명상가도장,,,1500
grp-a001-01-000000072062675,광명방수견적,,,1200
grp-a001-01-000000072062675,광명옥상방수견적,,,2000
grp-a001-01-000000072062675,광명우레탄방수견적,,,2000
grp-a001-01-000000072062675,광명방수공사비용,,,2000
grp-a001-01-000000072062675,광명방수공사견적,,,2000
grp-a001-01-000000072062681,안산옥상누수,,,1500
grp-a001-01-000000072062681,시흥옥상누수,,,1500
grp-a001-01-000000072062681,안산외벽균열보수,,,1500
grp-a001-01-000000072062681,시흥건물크랙보수,,,1500
grp-a001-01-000000072062681,안산건물도장,,,1200
grp-a001-01-000000072062681,시흥공장도장,,,1500
grp-a001-01-000000072062681,안산방수공사,,,2000
grp-a001-01-000000072062681,안산옥상방수,,,2000
grp-a001-01-000000072062681,안산우레탄방수,,,2000
grp-a001-01-000000072062681,안산공장방수,,,1500
grp-a001-01-000000072062681,안산상가방수,,,1500
grp-a001-01-000000072062681,안산건물방수,,,1200
grp-a001-01-000000072062681,안산주차장방수,,,2000
grp-a001-01-000000072062681,안산외벽방수,,,2000
grp-a001-01-000000072062681,안산누수방수,,,1500
grp-a001-01-000000072062681,안산방수업체,,,2000
grp-a001-01-000000072062681,안산에폭시시공,,,1200
grp-a001-01-000000072062681,안산주차장에폭시,,,1200
grp-a001-01-000000072062681,안산외벽도장,,,1200
grp-a001-01-000000072062681,안산하자보수,,,1500
grp-a001-01-000000072062681,시흥방수공사,,,2000
grp-a001-01-000000072062681,시흥옥상방수,,,2000
grp-a001-01-000000072062681,시흥우레탄방수,,,2000
grp-a001-01-000000072062681,시흥공장방수,,,1500
grp-a001-01-000000072062681,시흥상가방수,,,1500
grp-a001-01-000000072062681,시흥건물방수,,,1200
grp-a001-01-000000072062681,시흥주차장방수,,,2000
grp-a001-01-000000072062681,시흥외벽방수,,,2000
grp-a001-01-000000072062681,시흥방수업체,,,2000
grp-a001-01-000000072062681,시흥에폭시시공,,,1200
grp-a001-01-000000072062681,시흥공장지붕방수,,,1500
grp-a001-01-000000072062681,안산빌라옥상방수,,,2000
grp-a001-01-000000072062681,안산상가옥상방수,,,2000
grp-a001-01-000000072062681,안산아파트옥상방수,,,2000
grp-a001-01-000000072062681,안산공장지붕방수,,,1500
grp-a001-01-000000072062681,안산공장바닥에폭시,,,1500
grp-a001-01-000000072062681,안산상가누수방수,,,1500
grp-a001-01-000000072062681,안산건물누수방수,,,1500
grp-a001-01-000000072062681,안산외벽크랙보수,,,1500
grp-a001-01-000000072062681,시흥빌라옥상방수,,,2000
grp-a001-01-000000072062681,시흥상가옥상방수,,,2000
grp-a001-01-000000072062681,시흥아파트옥상방수,,,2000
grp-a001-01-000000072062681,시흥공장바닥방수,,,1500
grp-a001-01-000000072062681,시흥공장바닥에폭시,,,1500
grp-a001-01-000000072062681,시흥상가누수방수,,,1500
grp-a001-01-000000072062681,시흥외벽크랙보수,,,1500
grp-a001-01-000000072062681,안산단원구방수,,,1200
grp-a001-01-000000072062681,안산상록구방수,,,1200
grp-a001-01-000000072062681,시흥정왕동방수,,,1200
grp-a001-01-000000072062681,시흥배곧방수,,,1200
grp-a001-01-000000072062681,시흥옥상방수공사,,,2000
grp-a001-01-000000072062681,시흥우레탄방수공사,,,2000
grp-a001-01-000000072062681,시흥누수공사,,,1500
grp-a001-01-000000072062681,시흥건물누수,,,1500
grp-a001-01-000000072062681,시흥하자보수,,,1500
grp-a001-01-000000072062681,시흥건물하자보수,,,1500
grp-a001-01-000000072062681,시흥외벽균열보수,,,1500
grp-a001-01-000000072062681,시흥도장공사,,,1200
grp-a001-01-000000072062681,시흥건물도장,,,1200
grp-a001-01-000000072062681,시흥외벽도장,,,1200
grp-a001-01-000000072062681,시흥외벽페인트,,,1200
grp-a001-01-000000072062681,시흥상가도장,,,1500
grp-a001-01-000000072062681,시흥방수견적,,,1200
grp-a001-01-000000072062681,안산옥상방수공사,,,2000
grp-a001-01-000000072062681,안산우레탄방수공사,,,2000
grp-a001-01-000000072062681,안산누수공사,,,1500
grp-a001-01-000000072062681,안산건물누수,,,1500
grp-a001-01-000000072062681,안산건물하자보수,,,1500
grp-a001-01-000000072062681,안산도장공사,,,1200
grp-a001-01-000000072062681,안산외벽페인트,,,1200
grp-a001-01-000000072062681,안산공장도장,,,1500
grp-a001-01-000000072062681,안산상가도장,,,1500
grp-a001-01-000000072062681,안산방수견적,,,1200
grp-a001-01-000000072062681,안산옥상방수견적,,,2000
grp-a001-01-000000072062681,안산우레탄방수견적,,,2000
grp-a001-01-000000072062681,안산공장바닥방수,,,1500
grp-a001-01-000000072062681,안산정왕동방수,,,1200
grp-a001-01-000000072062681,안산건물크랙보수,,,1500
grp-a001-01-000000072062681,안산방수공사견적,,,2000
grp-a001-01-000000072062681,안산배곧방수,,,1200
grp-a001-01-000000072062681,안산방수공사비용,,,2000
grp-a001-01-000000072062681,시흥옥상방수견적,,,2000
grp-a001-01-000000072062681,시흥우레탄방수견적,,,2000
grp-a001-01-000000072062681,시흥방수공사견적,,,2000
grp-a001-01-000000072062681,시흥누수방수,,,1500
grp-a001-01-000000072062681,시흥상록구방수,,,1200
grp-a001-01-000000072062681,시흥건물누수방수,,,1500
grp-a001-01-000000072062681,시흥주차장에폭시,,,1200
grp-a001-01-000000072062681,시흥방수공사비용,,,2000
grp-a001-01-000000072062681,시흥단원구방수,,,1200
grp-a001-01-000000072062686,일산옥상누수,,,1500
grp-a001-01-000000072062686,일산건물도장,,,1200
grp-a001-01-000000072062686,일산방수공사,,,2000
grp-a001-01-000000072062686,일산옥상방수,,,2000
grp-a001-01-000000072062686,일산우레탄방수,,,2000
grp-a001-01-000000072062686,일산공장방수,,,1500
grp-a001-01-000000072062686,일산상가방수,,,1500
grp-a001-01-000000072062686,일산건물방수,,,1200
grp-a001-01-000000072062686,일산주차장방수,,,2000
grp-a001-01-000000072062686,일산외벽방수,,,2000
grp-a001-01-000000072062686,일산방수업체,,,2000
grp-a001-01-000000072062686,일산에폭시시공,,,1200
grp-a001-01-000000072062686,고양시방수공사,,,2000
grp-a001-01-000000072062686,고양시옥상방수,,,2000
grp-a001-01-000000072062686,고양시우레탄방수,,,2000
grp-a001-01-000000072062686,고양시건물방수,,,1200
grp-a001-01-000000072062686,고양시주차장방수,,,2000
